	V1	V2
283	ADAMTS8	17292.8122102258
284	ADAMTS9	6815.52862383315
285	ADAMTSL1	382.496459159244
286	ADAMTSL2	8185.50356267016
287	ADAMTSL3	180630.154020576
288	ADAMTSL4	969450.529977805
289	ADAMTSL5	1845.00736700547
290	ADAP1	27028.5803862029
291	ADAP2	10542.0980118263
292	ADARB1	16438.3703993549
293	ADARB2	8.22407795743799
294	ADAR	23813168.5601044
295	ADAT1	15502.4361040774
296	ADAT2	13610.6472712676
297	ADAT3	20860.9096252615
298	ADA	14999.5927106009
299	ADCK1	17535.734260377
300	ADCK2	54633.751845872
301	ADCK4	10709.7300526022
302	ADCK5	57284.5677744045
303	ADCY10	47.9144890809524
304	ADCY1	1240956.14317219
305	ADCY2	67.9734339128571
306	ADCY3	161414.500435043
307	ADCY4	2819.51307938625
308	ADCY5	626.06055323714
309	ADCY6	32530.2844061657
310	ADCY7	145018.959545176
311	ADCY8	9934.7630931638
312	ADCY9	15052.5974954074
313	ADCYAP1R1	49.6222038766047
314	ADCYAP1	113.196138111577
315	ADC	1530.21128640536
316	ADD1	432245.714940451
317	ADD2	2087544.90171647
318	ADD3	884917.475184345
319	ADH1A	4.1719882268626
320	ADH1B	45004.9021209464
321	ADH1C	301.645458838371
322	ADH4	2.41619108483135
323	ADH5	213022.836946466
324	ADH6	0.799617025295139
325	ADH7	0.0228591376884921
326	ADHFE1	2651.87110574359
327	ADI1	205778.515714459
328	ADIG	0.105401562616567
329	ADIPOQ	2.7043463940377
330	ADIPOR1	487272.172773016
331	ADIPOR2	3875662.01085238
332	ADK	6290.81498318567
333	ADM2	11972.879334465
334	ADM	47685.434965543
335	ADNP2	66752.2796355199
336	ADNP	2273800.59273006
337	ADORA1	1481.80225611869
338	ADORA2A	48658.1280950791
339	ADORA2B	15388.4044238385
340	ADORA3	2891.79062761742
341	ADO	81479.818334337
342	ADPGK	554343.829947619
343	ADPRHL1	513.622353103958
344	ADPRHL2	86462.9144818879
345	ADPRH	20171.8968294838
346	ADRA1A	0.279971903561508
347	ADRA1B	13.3388602472619
348	ADRA1D	21.7374599039261
349	ADRA2A	6828.57839973803
350	ADRA2B	1048.39140198345
351	ADRA2C	79634.1625094022
352	ADRB1	12.7535679470809
353	ADRB2	356.03893692123
354	ADRB3	876.600092697738
355	ADRBK1	1007131.40721219
356	ADRBK2	60516.5632046627
357	ADRM1	2394978.93824799
358	ADSL	760358.241560094
359	ADSSL1	2082.12626239145
360	ADSS	95612.1530020596
361	AEBP1	1483924.43604337
362	AEBP2	5159880.60568633
363	AEN	2975403.36911339
364	AES	5266285.54525397
365	AFAP1L1	242612.10819079
366	AFAP1L2	14955.8508384181
367	AFAP1	244065.161610305
368	AFARP1	12.7454148833234
369	AFF1	474540.28778092
370	AFF2	53250.5166723618
371	AFF3	6685.01501427607
372	AFF4	138990.075579567
373	AFG3L1	358569.111144972
374	AFG3L2	247039.802116668
375	AFMID	3623.39432033936
376	AFM	0.0620339331522817
377	AFP	657.521442987637
378	AFTPH	104403.547187345
379	AG2	22227.8672581659
380	AGAP11	1405.6521597178
381	AGAP1	52769.3076358879
382	AGAP2	30976.3409988203
383	AGAP3	268843.005434758
384	AGAP4	223690.814393722
385	AGAP5	2055.01270397769
386	AGAP6	97874.4233978688
387	AGAP7	2383.38780618837
388	AGAP8	6992.65114264381
389	AGA	56024.572909746
390	AGBL1	0.208354356783234
391	AGBL2	334.367041271863
392	AGBL3	16.4179734161508
393	AGBL4	437.765864549521
394	AGBL5	112110.892547651
395	AGER	59723.9776294265
396	AGFG1	248279.428775762
397	AGFG2	14580.6308344098
398	AGGF1	174045.809519306
399	AGK	22774.594363349
400	AGL	942165.509319381
401	AGMAT	391.629203209382
402	AGPAT1	115129.634852714
403	AGPAT2	598601.712566414
404	AGPAT3	191705.822658205
405	AGPAT4	112302.151814663
406	AGPAT5	111835.22202615
407	AGPAT6	1649408.13402835
408	AGPAT9	106.251472304196
409	AGPHD1	4130.92346347107
410	AGPS	62260.4699383958
411	AGR2	18981.2748991829
412	AGR3	1.52549633202381
413	AGRN	115989.960382647
414	AGRP	0.201142693687996
415	AGTPBP1	390138.65064481
416	AGTR1	760.591556504514
417	AGTR2	0.319009723172123
418	AGTRAP	278273.256947794
419	AGT	70.4336755318428
420	AGXT2L1	3.03983870649802
421	AGXT2L2	35400.7546150606
422	AGXT2	2.08272033120784
423	AGXT	1.42081781346974
424	AHCTF1	306089.410759952
425	AHCYL1	205952.014078764
